======================================
=== SHEET: Efectividad (21 rows x 16 cols) ===
======================================
 | ¿Próxima Acción? | Sí |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Tipo de Compromiso | Esta semana No |  |  |  |  |  |  |  |  |  |  |  |  | 
 | N° de Próximas acciones |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Contexto | Total |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @A la espera | 11 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Casa | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @GoPRO | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Iquique | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Oficina | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Teléfono | 6 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Online | 17 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Offline | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Desarrollo Web | 3 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Búsqueda Internet | 7 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Compras internet | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Email | 7 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Ipad | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Computador | 6 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Mac | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Grand Total | 70 |  |  |  |  |  |  |  |  |  |  |  |  | 
[20 data rows]

======================================
=== SHEET: PROYECTOS (121 rows x 2 cols) ===
======================================
¿Próxima Acción? | Sí
AREA | (Multiple Items)
Proyecto | N° Acciones
Estamos registrados en Sernatur y operando en regla | 1
Las redes sociales de ANE son visualmente atractivas y a la gente le atrae | 1
Los videos ANE están estructurados y ahora es más rápido la edición de video | 1
NO movimientos de ANE declarados | 1
Sergio tiene su VISA en regla | 1
Tenemos poleras nuevas a un buen precio | 2
Tengo un asesor de empresa para todos los temas relacionados con ANE | 1
Seguimos generando videos de experiences | 3
Mi cuenta de Cairo está cerrada | 1
Hago acciones de bajo costo que generan gran impacto en nuestro negocio de ANE | 1
Tenemos todas las facturas relacionadas con ANE en orden | 1
El branding personal de ANE está muy trabajado y su estrategia está completamente definida | 1
Seguimos agregando nuevos facilitadores en la tribu de ANE | 1
Seguimos ampliando la visibiliad de ANE en internet | 2
Tenemos cuenta de paypal de empresa y está integrada en nuestra web | 1
Sergio y yo Nos organizamos muy bien y trabajamos en equipo excepcionalmente | 1
Tengo un contador para ANE en el que confío y es muy bueno haciendo su trabajo | 3
Tenemos un formulario de clientes para nuestras propias actividades | 1
Tenemos un lugar seguro donde guardar nuestra  material de experiencias: Paddles y otros. A poder ser junto a la furgoneta!! | 1
La furgoneta está ploteada con ANE y Red Paddle y se ve bakan | 2
Sergio tiene su contrato de ANE en regla | 1
Sergio tiene su carnet de conducir chileno | 1
Sergio se encuentra en contínuo aprendizaje y cada día lee más porque le encanta aprender | 1
Sergio es PADI open water | 1
ANE tiene una estrategia definida en conjunto con Pisagua Sumergido para meter paddles en Pisagua | 1
ANE tiene Red Paddle en 3 tiendas de Iquique y nos los han comprado | 1
Tenemos 2 banderas de ANE y las hemos hecho en Perú | 1
Tenemos 2 banderas de Red Paddle y las hemos hecho en Perú | 1
Tenemos una polera de surftrips para hombre brutal!!! | 1
Sergio cada vez sabe más sobre la flora y fauna de la región convirtiéndose en un guía increíble | 1
Nuestras actividades ANE están super bien definidas con precios claros, rutas concretas y tiempos medidos; listas para poder enviar a clientes | 1
ANE tiene pequeños souvenirs que la gente puede comprar | 1
Sergio controla sus gastos y tiene visibilidad sobre dónde se va el dinero y se está preparando a conciencia para cuando tenga lucas!! | 1
Sergio ha cancelado su tarjeta de la Kutxa | 1
En el Marley coffe hay videos de ANE dando vueltas todo el día | 1
Sergio tiene su portátil impeke, con todos los archivos donde tienen que estar y todo lo es necesario está archivado o ya se eliminó | 1
Las tomas que grabamos en ANE son más profesionales y bakanes | 1
La furgoneta del Equipo A de ANE está full equipada para experiences | 2
Sergio tiene Fan Page de atleta bodyboarder y está increíble, se ve excelente y tiene muchas visitas. Está ligada a ANE | 1
Sergio está federado y compite en campeonatos de boadyboard internacionales | 3
ANE tiene clientes que pagan buenas lucas por experiencias | 1
Sergio tiene el certificado de primeros auxilios en Chile | 1
ANE tiene una red inmensa de colaboradores que se sienten parte de ANE | 1
Grand Total | 53
[47 data rows]

======================================
=== SHEET: LISTA de Proyectos y Acciones (863 rows x 26 cols) ===
======================================
Contador | AREA | OBJETIVO | Proyecto | Subproyecto | Acción | ¿Próxima Acción? | Contexto | Contacto | Tiempo | Energía | Fecha inicio | Fecha objetivo | ¿Fecha límite? | Tipo de Compromiso | ¿Activa? | Completada | Fecha finalización | Notas |  |  |  |  |  |  | 
40 | VIDA SALUDABLE |  | Estoy comiendo saludable, me preparo batidos full energía y me llega pedido a casa |  | Buscar alternativas de compra online saludable; ejemplo en españa agriculturavedicamaharishi.org | Sí | @Búsqueda Internet |  | 3. 30'-1h' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L41="",O41=""),"",IF(AND(O41="Comprometida",(OR(L41<=TODAY(),L41="")),OR(Q41="",Q41="No"),G41="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
41 | VIDA SALUDABLE |  | Estoy comiendo saludable, me preparo batidos full energía y me llega pedido a casa |  | Hacer lista de compra orgánica para ir a comprar; apoyarme en recetas de flexivegetarianos.com | No | @Casa |  | 3. 30'-1h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L42="",O42=""),"",IF(AND(O42="Comprometida",(OR(L42<=TODAY(),L42="")),OR(Q42="",Q42="No"),G42="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
42 | VIDA SALUDABLE |  | Estoy comiendo saludable, me preparo batidos full energía y me llega pedido a casa |  | Pasar por la hervolistería de en frente de casa a comprar lo que quiero | No | @Calle |  | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L43="",O43=""),"",IF(AND(O43="Comprometida",(OR(L43<=TODAY(),L43="")),OR(Q43="",Q43="No"),G43="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
43 | VIDA SALUDABLE |  | Estoy comiendo saludable, me preparo batidos full energía y me llega pedido a casa |  | Comprar juguera barata y buena. Preguntar a Sonic | No | @Compras calle |  | 3. 30'-1h' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L44="",O44=""),"",IF(AND(O44="Comprometida",(OR(L44<=TODAY(),L44="")),OR(Q44="",Q44="No"),G44="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
44 | MARCA PERSONAL |  | Análisis de competencia en Chile realizado |  | Buscar y listar cuál es mi competencia en cuanto cursos de GTD en Chile | Sí | @Búsqueda Internet |  | 4. 1h-2h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L45="",O45=""),"",IF(AND(O45="Comprometida",(OR(L45<=TODAY(),L45="")),OR(Q45="",Q45="No"),G45="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
45 |  |  | Disco duro externo azul arreglado |  | Llevar a arreglar el disco duro externo azul | No | @Calle |  | 3. 30'-1h' | Baja |  |  | No | Esta semana No | =IF(AND(L46="",O46=""),"",IF(AND(O46="Comprometida",(OR(L46<=TODAY(),L46="")),OR(Q46="",Q46="No"),G46="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
46 | MARCA PERSONAL |  | Curso sobre Marca Personal está desarrollado |  | Buscar lista de valores para tener como referencia | No | @Online |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L47="",O47=""),"",IF(AND(O47="Comprometida",(OR(L47<=TODAY(),L47="")),OR(Q47="",Q47="No"),G47="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
47 | VIDA SALUDABLE |  | Mi cuerpo se baña con agua limpia, cocino con agua limpia y bebo agua del grifo limpia |  | Buscar en internet filtros para la casa, para la toma de entrada de la casa, o ducha, o grigos, etc | Sí | @Búsqueda Internet |  | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L48="",O48=""),"",IF(AND(O48="Comprometida",(OR(L48<=TODAY(),L48="")),OR(Q48="",Q48="No"),G48="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
48 | VIDA SALUDABLE |  | Mi cuerpo se baña con agua limpia, cocino con agua limpia y bebo agua del grifo limpia |  | Decidir si compro o no un filtro para el agua en casa | No | @Online |  | 2. 15'-30' | Media |  |  | No | Esta semana No | =IF(AND(L49="",O49=""),"",IF(AND(O49="Comprometida",(OR(L49<=TODAY(),L49="")),OR(Q49="",Q49="No"),G49="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
49 | VIDA SALUDABLE |  |  |  | Comprar zapatillas para jugar a fútbol | Sí | @Compras calle |  | 3. 30'-1h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L50="",O50=""),"",IF(AND(O50="Comprometida",(OR(L50<=TODAY(),L50="")),OR(Q50="",Q50="No"),G50="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
50 | CURSOS |  | He dado mi curso de vivir con abundancia en Zarautz, en Lakari y a la gente le ha encantado |  | Dar un curso en Lakari en agosto 2017 en Zarautz | No | @Zarautz |  | 4. 1h-2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L51="",O51=""),"",IF(AND(O51="Comprometida",(OR(L51<=TODAY(),L51="")),OR(Q51="",Q51="No"),G51="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
51 | CURSOS |  | He dado mi curso de vivir con abundancia en Zarautz, en Lakari y a la gente le ha encantado |  | Preparar curso en Lakari en agosto 2017 en Zarautz | Sí | @Zarautz |  | 5. >2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L52="",O52=""),"",IF(AND(O52="Comprometida",(OR(L52<=TODAY(),L52="")),OR(Q52="",Q52="No"),G52="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
52 | ANE |  | Cuenta empresa bancaria de ANE está hecha |  | A la espera de que Tito, Marcos y Sergio firmen en notaría | No | @A la espera | Sergio@ |  |  |  |  | No | Esta semana No | =IF(AND(L53="",O53=""),"",IF(AND(O53="Comprometida",(OR(L53<=TODAY(),L53="")),OR(Q53="",Q53="No"),G53="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
53 | MARCA PERSONAL |  | Mi estrategia de Marca Personal está construida habiendo aplicado el proceso de Personal Branding |  | Customizar Fan page de Facebook de Jox Flow Advisor | No | @Online |  | 4. 1h-2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L54="",O54=""),"",IF(AND(O54="Comprometida",(OR(L54<=TODAY(),L54="")),OR(Q54="",Q54="No"),G54="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
54 | VENTA ONLINE |  | Tengo una serie de sistemas funcionando en mis páginas web de tal manera que es grande la diversidad de fuentes de ingresos | Productos físicos están siendo enviados a su comprador | Aprender cómo se distribuyen productos internacionalmente al menor costo para saber cómo podemos enviar las camisetas y todo lo que se venga después | Sí | @Online |  | 5. >2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L55="",O55=""),"",IF(AND(O55="Comprometida",(OR(L55<=TODAY(),L55="")),OR(Q55="",Q55="No"),G55="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
55 | GTD |  | Sistema GTD personal en operación y completando mejora continua | Mi sistema continua mejorando | Procesar y organizar mis bandejas de entrada de correo electrónico | No | @Online |  | 4. 1h-2h' | Alta |  |  | No | Esta semana No | =IF(AND(L56="",O56=""),"",IF(AND(O56="Comprometida",(OR(L56<=TODAY(),L56="")),OR(Q56="",Q56="No"),G56="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
56 | MARCA PERSONAL |  | Análisis de competencia en Chile |  | Buscar y listar cuál es mi competencia en cuanto cursos de Marca Personal en Chile | No | @Online |  | 2. 15'-30' | Baja |  |  | No | Esta semana No | =IF(AND(L57="",O57=""),"",IF(AND(O57="Comprometida",(OR(L57<=TODAY(),L57="")),OR(Q57="",Q57="No"),G57="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
57 |  |  |  |  | Buscar en internet y saber qué implicaciones tiene que etiqueten a Atacama North Experience en post (la gente que sigue la fan page ve en su muro esa foto donde ha sido etiquetada?) | Sí | @Búsqueda Internet |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L58="",O58=""),"",IF(AND(O58="Comprometida",(OR(L58<=TODAY(),L58="")),OR(Q58="",Q58="No"),G58="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
58 | ANE |  | Seguimos generando videos de experiences |  | Elegir canción de Lost Frequencies para mi próximo video de ANE | No | @Online |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L59="",O59=""),"",IF(AND(O59="Comprometida",(OR(L59<=TODAY(),L59="")),OR(Q59="",Q59="No"),G59="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
59 |  |  |  |  | Buscar en google qué hay sobre sistema de posiciona personal para monitorear el avance de tus proyectos | Sí | @Búsqueda Internet |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L60="",O60=""),"",IF(AND(O60="Comprometida",(OR(L60<=TODAY(),L60="")),OR(Q60="",Q60="No"),G60="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
60 | WEB JOX |  | Web finalizada con video de presentación de la web y 1 curso de GTD con video de presentación |  | Obtener el valor RGB de mis ojos de una foto para que ese sea el color de mi marca personal | No | @Casa |  | 2. 15'-30' | Baja |  |  | No | Esta semana No | =IF(AND(L61="",O61=""),"",IF(AND(O61="Comprometida",(OR(L61<=TODAY(),L61="")),OR(Q61="",Q61="No"),G61="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
61 | VENTA ONLINE |  | Preparado mi Estrategia completa de mail marketing |  | Hacer 1er módulo del curso de Inboud Marketing de Hubspot en app.hubspot.com/academy-certification/2495213 | No | @Online |  | 3. 30'-1h' | Media |  |  | No | Esta semana No | =IF(AND(L62="",O62=""),"",IF(AND(O62="Comprometida",(OR(L62<=TODAY(),L62="")),OR(Q62="",Q62="No"),G62="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
62 | CURSOS | Estoy impartiendo talleres salas arrendadas en Santiago y todo es un éxito | Tengo el plan logístico de mis talleres arreglado (Lugar, precio, etc) |  | Encontrar dónde puedo arrendar una sala para mis talleres y conocer condiciones (cuánto cuesta, capacidad, opciones de cancelación, etc) | Sí | @Búsqueda Internet |  | 3. 30'-1h' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L63="",O63=""),"",IF(AND(O63="Comprometida",(OR(L63<=TODAY(),L63="")),OR(Q63="",Q63="No"),G63="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
63 |  |  |  |  | Esperar a que Sergio me comparta la planilla de Excel de sus Ingresos actualizada | Sí | @A la espera | Sergio@ |  |  |  |  | No | Comprometida | =IF(AND(L64="",O64=""),"",IF(AND(O64="Comprometida",(OR(L64<=TODAY(),L64="")),OR(Q64="",Q64="No"),G64="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
64 | LIBERTAD FINANCIERA |  | Tengo control sobre mis finanzas y sé cuál es la salud financiera, mi colchón en caso de no tener ingresos, etc |  | Meter el costo de mi departamento de Cairo en planilla de Control de Sustentabilidad (control de gastos) | No | @Casa |  | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L65="",O65=""),"",IF(AND(O65="Comprometida",(OR(L65<=TODAY(),L65="")),OR(Q65="",Q65="No"),G65="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
65 | BRANDING PERSONAL |  | Elevator Pitch de las diferentes cosas que hago, están creados |  | Escribir Elevator Pitch de mi curso de GTD | No | @Casa |  | 2. 15'-30' | Alta |  |  | No | Esta semana No | =IF(AND(L66="",O66=""),"",IF(AND(O66="Comprometida",(OR(L66<=TODAY(),L66="")),OR(Q66="",Q66="No"),G66="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
66 | WEB JOX |  | Web finalizada con video de presentación de la web y 1 curso de GTD con video de presentación |  | Hacer Landing page para página web personal con leadpages | No | @Desarrollo Web |  | 5. >2h' | Alta |  |  | No | Esta semana No | =IF(AND(L67="",O67=""),"",IF(AND(O67="Comprometida",(OR(L67<=TODAY(),L67="")),OR(Q67="",Q67="No"),G67="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
67 | MARCA PERSONAL |  | Tengo el modelo Canvas de mi negocio como coach y trainner |  | Hacer Modelo Canvas de JoxCortinat | Sí | @Casa |  | 5. >2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L68="",O68=""),"",IF(AND(O68="Comprometida",(OR(L68<=TODAY(),L68="")),OR(Q68="",Q68="No"),G68="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
68 | ANE |  | Estamos registrados en Sernatur y operando en regla |  | Completar datos de ANE en web de Sernatur | Sí | @Online |  | 3. 30'-1h' | Media |  |  | No | Esta semana No | =IF(AND(L69="",O69=""),"",IF(AND(O69="Comprometida",(OR(L69<=TODAY(),L69="")),OR(Q69="",Q69="No"),G69="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
69 | MARCA PERSONAL |  | Mi estrategia de Marca Personal está construida habiendo aplicado el proceso de Personal Branding |  | Escribir texto de guión de mi video presentación como Jox Cortinat (Qué quiero transmitir?) | No | @Casa |  | 4. 1h-2h' | Alta |  |  | No | Esta semana No | =IF(AND(L70="",O70=""),"",IF(AND(O70="Comprometida",(OR(L70<=TODAY(),L70="")),OR(Q70="",Q70="No"),G70="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
70 | ANÁLISIS COMPETENCIA |  | Conozco cuál es mi competencia en el mercado del desarrollo personal en Chile | Darme a conocer como marca | Invertigar qué radios en Chile dan algún programa de desarrollo personal | No | @Online |  | 2. 15'-30' | Baja |  |  | No | Esta semana No | =IF(AND(L71="",O71=""),"",IF(AND(O71="Comprometida",(OR(L71<=TODAY(),L71="")),OR(Q71="",Q71="No"),G71="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
71 | MAGDA | Magda se siente cuidada por mí y le encanta las cosas que le estoy haciendo | Magda recibe una canción grabada en video especialmente dedicada para ella y le encanta. Eso me hace sentir bien |  | Componer canción de Magda | Sí | @Casa |  | 5. >2h' | Media | 2016-09-10 00:00:00 | 2016-09-10 00:00:00 | No | Comprometida | =IF(AND(L72="",O72=""),"",IF(AND(O72="Comprometida",(OR(L72<=TODAY(),L72="")),OR(Q72="",Q72="No"),G72="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
72 | GTD |  | Sistema GTD personal en operación y completando mejora continua | Mi sistema continua mejorando | Añadir a Calendario recordatorios de la Lista Algún día/Tal vez del tipo decisiones a tomar sobre algo (voy a hacer ese proyecto, cambiaré de trabajo, etc); Información sobre eventos que no sabes todavía si vas a ir | Sí | @Teléfono |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L73="",O73=""),"",IF(AND(O73="Comprometida",(OR(L73<=TODAY(),L73="")),OR(Q73="",Q73="No"),G73="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
73 | KAISEN PERSONAL |  |  |  | Comprar servicio de revisión de Delaración Renta 2015 | Sí | @Compras internet | Cristobal@ | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L74="",O74=""),"",IF(AND(O74="Comprometida",(OR(L74<=TODAY(),L74="")),OR(Q74="",Q74="No"),G74="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
74 | KAISEN PERSONAL |  |  |  | Liberar espacio en el iphone (hacer limpieza de apps tb) | Sí | @Teléfono |  | 3. 30'-1h' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L75="",O75=""),"",IF(AND(O75="Comprometida",(OR(L75<=TODAY(),L75="")),OR(Q75="",Q75="No"),G75="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
75 | MARCA PERSONAL |  | Completar cuaderno de trabajo de Los 7 Hábitos de la Gente Altamente Efectiva |  | Responder a las primeras 5 preguntas del cuaderno de trabajo de Los 7 Hábitos de la Gente Altamente Efectiva | No | @Mac |  | 3. 30'-1h' | Alta |  |  | No | Esta semana No | =IF(AND(L76="",O76=""),"",IF(AND(O76="Comprometida",(OR(L76<=TODAY(),L76="")),OR(Q76="",Q76="No"),G76="Sí"),"Sí","No")) | No | 2016-08-28 00:00:00 | Estoy respondiendo sobre Word llamado: Cuaderno de Trabajo… |  |  |  |  |  |  | 
76 | LIBERTAD FINANCIERA |  | Tengo control sobre mis finanzas y sé cuál es la salud financiera, mi colchón en caso de no tener ingresos, etc |  | Terminar excel de controL de gastos y patrimonio (actualizarlo) | No | @Casa |  | 4. 1h-2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L77="",O77=""),"",IF(AND(O77="Comprometida",(OR(L77<=TODAY(),L77="")),OR(Q77="",Q77="No"),G77="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
77 | KAISEN PERSONAL |  | Tengo mi visa chilena en orden |  | Enviar carta de solicitud de visado definitivo para Chile | No | @Oficina |  | 2. 15'-30' | Alta |  |  | No | Esta semana No | =IF(AND(L78="",O78=""),"",IF(AND(O78="Comprometida",(OR(L78<=TODAY(),L78="")),OR(Q78="",Q78="No"),G78="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
78 | KAISEN PERSONAL |  | Tengo mi visa chilena en orden |  | Ir a recoger el visado definitivo | No | @Calle |  | 5. >2h' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L79="",O79=""),"",IF(AND(O79="Comprometida",(OR(L79<=TODAY(),L79="")),OR(Q79="",Q79="No"),G79="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
79 | VENTA |  | Tengo habilidades de venta clara y tengo las respuestas a las objecciones de mis clientes |  | Preparar respuesta a objecciones por las que no te compran tu servicio | No | @Casa |  | 5. >2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L80="",O80=""),"",IF(AND(O80="Comprometida",(OR(L80<=TODAY(),L80="")),OR(Q80="",Q80="No"),G80="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
80 | VENTA ONLINE |  | Tengo un sistema de creación de base de datos de clientes |  | Aprender a utilizar Mailchimp | Sí | @Online |  | 4. 1h-2h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L81="",O81=""),"",IF(AND(O81="Comprometida",(OR(L81<=TODAY(),L81="")),OR(Q81="",Q81="No"),G81="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
81 | GUITAR FLOW |  | Curso de cómo componer canciones creado y subido en youtube |  | Escribir el guión del curso de cómo componer canciones a la guitarra | Sí | @Casa |  | 5. >2h' | Media |  |  | No | Tal vez nunca | =IF(AND(L82="",O82=""),"",IF(AND(O82="Comprometida",(OR(L82<=TODAY(),L82="")),OR(Q82="",Q82="No"),G82="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
82 | ANE SUP SCHOOL IQUIQUE |  | Las actividades de Paddle en Iquique ya se encuentran operativas, con precios y a la gente les encanta |  | Preguntar a Sergio si ya ha hablado con los jefes de Sport Fit | No | @Teléfono |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L83="",O83=""),"",IF(AND(O83="Comprometida",(OR(L83<=TODAY(),L83="")),OR(Q83="",Q83="No"),G83="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
83 | ANE SUP SCHOOL IQUIQUE |  | Las actividades de Paddle en Iquique ya se encuentran operativas, con precios y a la gente les encanta |  | Investigar sobre la Ley linch, según la cual, hay q hacer un club para montar una escuela en Iquique | Sí | @Online |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L84="",O84=""),"",IF(AND(O84="Comprometida",(OR(L84<=TODAY(),L84="")),OR(Q84="",Q84="No"),G84="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
84 | WEB JOX |  | Web finalizada con video de presentación de la web y 1 curso de GTD con video de presentación |  | Escoger las fotos que van a ir en mis medios sociales (página web, face, inst,youtube, etc) | No | @Computador |  | 4. 1h-2h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L85="",O85=""),"",IF(AND(O85="Comprometida",(OR(L85<=TODAY(),L85="")),OR(Q85="",Q85="No"),G85="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
85 | BRANDING PERSONAL |  | Elevator Pitch de las diferentes cosas que hago, están creados |  | Escribir Elevator Pitch de mi proyecto personal | No | @Ipad |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L86="",O86=""),"",IF(AND(O86="Comprometida",(OR(L86<=TODAY(),L86="")),OR(Q86="",Q86="No"),G86="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
86 | BRANDING PERSONAL |  | Elevator Pitch de las diferentes cosas que hago, están creados |  | Escribir Elevator Pitch de lo que hacemos en ANE | Sí | @Offline |  | 2. 15'-30' | Media |  |  | No | Esta semana No | =IF(AND(L87="",O87=""),"",IF(AND(O87="Comprometida",(OR(L87<=TODAY(),L87="")),OR(Q87="",Q87="No"),G87="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
87 | KAISEN PERSONAL | Tengo mayor orden en mi vida y vivo sin estrés | Disco duro y computadores sin archivos duplicados ni versiones anteriores y subido a Googledrive lo que necesito en todos mis dispositivos |  | Cambiar formato de disco duro My Passport para que sea compatible en todo tipo de computador | No | @Casa |  | 3. 30'-1h' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L88="",O88=""),"",IF(AND(O88="Comprometida",(OR(L88<=TODAY(),L88="")),OR(Q88="",Q88="No"),G88="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
88 | KAISEN PERSONAL | Tengo mayor orden en mi vida y vivo sin estrés |  |  | Cerrar mi cuenta de hotmail, pero antes cambiar mi correo en aquellas cosas donde me interesa seguir subscrito | Sí | @Email |  | 4. 1h-2h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L89="",O89=""),"",IF(AND(O89="Comprometida",(OR(L89<=TODAY(),L89="")),OR(Q89="",Q89="No"),G89="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
89 | ANE |  | Las redes sociales de ANE son visualmente atractivas y a la gente le atrae |  | Cambiar foto de perfil del instagram de ANE por algo que llame más la atención | No | @Computador |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L90="",O90=""),"",IF(AND(O90="Comprometida",(OR(L90<=TODAY(),L90="")),OR(Q90="",Q90="No"),G90="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
90 | ANE |  | Las redes sociales de ANE son visualmente atractivas y a la gente le atrae |  | Cambiar foto de perfil del instagram de ANE por algo que llame más la atención | No | @Computador |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L91="",O91=""),"",IF(AND(O91="Comprometida",(OR(L91<=TODAY(),L91="")),OR(Q91="",Q91="No"),G91="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
